ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count
76,ARA,Limited,INITIAL_PURCHASE,Web, $-   ,823,0,0,1,1,2,1
77,ENG,Limited,INITIAL_PURCHASE,App, $-   ,365,0,0,1,1,0,0
78,ESP,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,0,0
79,FRA,Limited,INITIAL_PURCHASE,Web, $119.00 ,185,1,1,1,1,0,0
80,POL,Limited,INITIAL_PURCHASE,Web, $54.33 ,92,0,1,1,1,9,0
81,POR,Limited,RENEWAL,App, $-   ,274,0,0,0,1,NULL,NULL
82,ALL,Lifetime,INITIAL_PURCHASE,App, $-   ,28781,1,0,0,1,NULL,NULL
83,ESP,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,0,0
84,RUS,Limited,INITIAL_PURCHASE,Web, $143.76 ,94,1,1,1,1,0,0
85,ESP,Limited,INITIAL_PURCHASE,Web, $-   ,89,0,0,0,0,NULL,NULL
86,ESP,Limited,RENEWAL,App, $-   ,183,0,0,1,1,1,0
87,CHI,Limited,RENEWAL,Web, $79.00 ,188,1,0,0,1,NULL,NULL
88,ENG,Limited,RENEWAL,App, $-   ,183,0,0,1,1,2,0
90,CHI,Limited,INITIAL_PURCHASE,App, $-   ,324,0,0,0,1,0,0
91,ENG,Lifetime,INITIAL_PURCHASE,App, $-   ,28770,0,0,1,1,0,0
92,ARA,Limited,RENEWAL,App, $-   ,368,1,0,0,1,NULL,NULL
93,ESP,Limited,RENEWAL,App, $-   ,366,0,1,1,1,1,0
94,ESP,Limited,INITIAL_PURCHASE,Web, $-   ,92,0,1,1,1,0,0
96,GRK,Limited,INITIAL_PURCHASE,Web, $71.63 ,183,0,1,0,1,NULL,NULL
97,ENG,Limited,RENEWAL,App, $-   ,167,1,0,1,1,0,0
98,FRA,Limited,RENEWAL,Web, $35.97 ,274,0,0,1,1,0,0
99,ITA,Limited,INITIAL_PURCHASE,App, $-   ,135,0,0,1,1,4,0
100,ALL,Lifetime,INITIAL_PURCHASE,Web, $142.36 ,28814,0,1,0,1,1,0
102,ESP,Limited,RENEWAL,App, $-   ,229,1,0,1,1,0,0
103,ALL,Lifetime,INITIAL_PURCHASE,Web, $199.00 ,28802,0,0,0,0,1,0
105,FRA,Limited,RENEWAL,Web, $35.97 ,277,1,1,1,1,4,0
106,ENG,Limited,RENEWAL,Web, $79.00 ,209,1,1,1,1,243,7
108,KOR,Limited,INITIAL_PURCHASE,Web, $-   ,731,0,0,1,1,12,0
109,ALL,Limited,RENEWAL,App, $-   ,368,1,0,1,1,10,0
110,ESP,Limited,INITIAL_PURCHASE,Web, $143.76 ,731,0,1,1,1,NULL,NULL
111,ITA,Limited,RENEWAL,App, $-   ,331,1,0,1,1,0,0
112,ESP,Limited,RENEWAL,App, $-   ,288,1,0,1,1,0,0
113,ESP,Limited,RENEWAL,App, $-   ,185,1,0,1,1,1,0
114,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28791,1,1,0,1,5,0
115,FRA,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,1,0,1,1,1
117,ESP,Limited,INITIAL_PURCHASE,Web, $-   ,182,0,1,0,1,NULL,NULL
118,FAR,Limited,RENEWAL,App, $-   ,152,0,0,1,1,1,0
119,ARA,Limited,INITIAL_PURCHASE,Web, $49.46 ,187,1,1,0,1,12,12
120,TUR,Limited,INITIAL_PURCHASE,Web, $70.29 ,743,0,1,1,1,0,0
123,ALL,Lifetime,INITIAL_PURCHASE,Web, $216.11 ,28783,0,0,1,1,13,5
124,ESP,Limited,INITIAL_PURCHASE,App, $-   ,184,0,0,0,1,NULL,NULL
125,ESP,Limited,INITIAL_PURCHASE,Web, $35.97 ,91,0,0,1,1,2,1
126,ALL,Lifetime,INITIAL_PURCHASE,Web, $218.90 ,28799,0,1,1,1,1,0
127,ESP,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,0,0
128,ESP,Limited,INITIAL_PURCHASE,App, $-   ,366,0,0,1,1,0,0
129,DEU,Limited,INITIAL_PURCHASE,Web, $67.22 ,190,1,1,0,1,7,5
130,JPN,Lifetime,INITIAL_PURCHASE,App, $-   ,28770,0,0,1,1,4,3
131,ITA,Limited,RENEWAL,App, $37.77 ,278,0,1,0,1,NULL,NULL
132,ESP,Limited,RENEWAL,App, $-   ,181,0,0,1,1,21,0
133,JPN,Limited,RENEWAL,App, $-   ,368,1,0,1,1,2,0
134,ESP,Limited,RENEWAL,App, $-   ,182,0,0,1,1,0,0
135,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28798,1,1,1,1,1,0
136,POR,Limited,INITIAL_PURCHASE,App, $-   ,365,0,0,1,1,0,0
137,ITA,Limited,INITIAL_PURCHASE,Web, $59.39 ,183,0,0,0,1,4,0
138,EBR,Limited,INITIAL_PURCHASE,Web, $114.78 ,366,0,1,0,1,NULL,NULL
139,ENG,Limited,INITIAL_PURCHASE,App, $-   ,90,0,0,1,1,NULL,NULL
140,JPN,Limited,RENEWAL,App, $-   ,170,1,0,1,1,1,1
141,ESP,Limited,INITIAL_PURCHASE,Web, $-   ,457,0,1,1,1,9,0
142,ALL,Limited,INITIAL_PURCHASE,App, $-   ,365,0,0,1,1,1,0
144,ALL,Lifetime,INITIAL_PURCHASE,Web, $199.00 ,28780,0,1,1,1,8,8
145,ENG,Limited,INITIAL_PURCHASE,Web, $-   ,32,0,0,1,1,NULL,NULL
147,ALL,Limited,INITIAL_PURCHASE,Web, $256.95 ,730,1,1,1,1,1,1
148,ESP,Limited,RENEWAL,App, $-   ,51,0,0,1,1,0,0
149,ESP,Limited,INITIAL_PURCHASE,App, $-   ,260,0,0,1,1,6,0
150,JPN,Limited,RENEWAL,Web, $79.00 ,275,0,0,0,1,9,4
151,ESP,Limited,INITIAL_PURCHASE,App, $-   ,156,0,0,1,1,0,0
152,NED,Limited,INITIAL_PURCHASE,Web, $-   ,456,0,1,1,1,13,4
153,ENG,Limited,INITIAL_PURCHASE,Web, $39.00 ,95,1,1,1,1,0,0
154,FRA,Limited,INITIAL_PURCHASE,Web, $38.13 ,91,0,0,0,0,2,0
155,CHI,Limited,INITIAL_PURCHASE,App, $-   ,183,0,0,1,1,0,0
156,CHI,Limited,INITIAL_PURCHASE,Web, $26.16 ,96,1,1,1,1,21,20
157,ENG,Limited,INITIAL_PURCHASE,Web, $-   ,683,1,1,1,1,5,0
159,FRA,Limited,RENEWAL,App, $-   ,350,1,0,1,1,0,0
160,ESP,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,12,0
161,ITA,Limited,INITIAL_PURCHASE,App, $-   ,196,1,1,1,1,0,0
162,POR,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,0,1,NULL,NULL
163,FRA,Lifetime,INITIAL_PURCHASE,App, $-   ,29180,0,1,1,1,2,2
164,FRA,Lifetime,INITIAL_PURCHASE,Web, $-   ,29217,0,0,1,1,0,0
165,FRA,Limited,RENEWAL,App, $-   ,183,0,0,0,1,NULL,NULL
166,ALL,Limited,RENEWAL,App, $-   ,368,1,0,1,1,0,0
167,JPN,Limited,INITIAL_PURCHASE,Web, $9.80 ,731,0,1,0,1,21,4
168,ENG,Limited,INITIAL_PURCHASE,App, $-   ,92,0,0,1,1,12,0
170,ITA,Limited,INITIAL_PURCHASE,Web, $-   ,91,0,1,0,1,NULL,NULL
